"Reference","Value","Footprint"
"U1","ESP32-DevKitC","Espressif:ESP32-DevKitC"
"Battery1","Conn_01x02","Connector_JST:JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical"
"J1","Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical"
"LED_Strip1","Conn_01x03","Connector:FanPinHeader_1x03_P2.54mm_Vertical"
"Mic1","Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical"
"Pot1","Knob_1","Potentiometer_THT:Potentiometer_Alps_RK163_Single_Horizontal"
"Pot2","Knob_2","Potentiometer_THT:Potentiometer_Alps_RK163_Single_Horizontal"
"Pot3","Knob_3","Potentiometer_THT:Potentiometer_Alps_RK163_Single_Horizontal"
"Pot4","Knob_4","Potentiometer_THT:Potentiometer_Alps_RK163_Single_Horizontal"
"R1","330ohm","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal"
